,N,NSim,typeA,Exp_a,Exp_b,mAct_a,stdAct_a,mAct_b,stdAct_b,m_IE,std_IE,m_K,std_K
67,10.0,1000.0,99.0,0.3,0.4,0.3915968640117891,0.3796400936211455,-0.002945160228340666,0.41873510718396967,0.007779654111204999,0.21903706489733005,0.13625625276392622,0.1357372266258306
68,10.0,1000.0,99.0,0.3,0.4,0.39140970946763287,0.37301280876501514,0.09265025993148153,0.39764234621906286,0.033066797902875936,0.211461499606742,0.12616227881404846,0.12871523352620337
69,10.0,1000.0,99.0,0.3,0.4,0.4003526165376628,0.39025158021036194,0.18689461368540589,0.38622206046890817,0.07595820624634679,0.21839018601185275,0.13636660137849888,0.128594541134257
70,10.0,1000.0,99.0,0.3,0.4,0.3929055731756874,0.3646839785558576,0.2773012584425725,0.4400528926998671,0.10385320045460444,0.26166500994692066,0.15862376454214888,0.14776938059567904
71,10.0,1000.0,99.0,0.3,0.4,0.40816582881150965,0.3781893961249535,0.39864868973890133,0.39840972194659907,0.1674805710549609,0.2676821429818295,0.18077698331299705,0.15929239779247986
72,10.0,1000.0,99.0,0.4,0.4,0.39769991736830196,0.3779562838448831,-0.4034466344738311,0.41959015405010996,-0.16775537213315472,0.28605518109809774,0.2036079104363023,0.17398236921852187
73,10.0,1000.0,99.0,0.4,0.4,0.4019651813247733,0.3668990480420368,-0.3158775273980254,0.4191852347555647,-0.12335362385712781,0.243905385268727,0.17923607776548908,0.16394432109605178
74,10.0,1000.0,99.0,0.4,0.4,0.3926696493190856,0.35735968191891365,-0.21306123596823628,0.423365996342943,-0.06880072994091332,0.2336532405638824,0.15302845279581737,0.1487840293363884
75,10.0,1000.0,99.0,0.4,0.4,0.3820094866696961,0.37366831726884703,-0.09409851774983616,0.42881061526477426,-0.03801945709035482,0.23418032993588317,0.14089951008351453,0.14285823157945782
76,10.0,1000.0,99.0,0.4,0.4,0.3924982552670885,0.3781868159281689,-0.01825960319455848,0.4101102033910698,-0.0071784492709606965,0.23469435419392565,0.13665093578772292,0.13405581904826475
77,10.0,1000.0,99.0,0.4,0.4,0.39762035832215054,0.3893191569605772,0.1309527387830923,0.4036155072725585,0.055686992972455725,0.24534310428461265,0.13226546408869563,0.13393850360350532
78,10.0,1000.0,99.0,0.4,0.4,0.39351288012439917,0.3501015904034938,0.1754190534296909,0.41079169687934597,0.07105845859826664,0.21913639835922397,0.13675928683194416,0.1300897218820728
79,10.0,1000.0,99.0,0.4,0.4,0.40049213177247633,0.3661215895191658,0.31072729476093414,0.4041446810269602,0.11659887296337418,0.2488537806996239,0.15763874006574993,0.14368035436239904
80,10.0,1000.0,99.0,0.4,0.4,0.4019818313253984,0.3814820617437758,0.39946495733817183,0.4248422819138112,0.15281912450219914,0.2774987141492888,0.18453272738660562,0.15766830604472948
81,10.0,1000.0,1.0,-0.4,0.4,0.40061964796437316,0.02025906109283405,-0.40926694485010373,0.41839520518435147,-0.16412045843765974,0.16803367617007733,0.40968339707536633,0.23213406944254866
